Column,Example
explanation,"An Amateur Radio Operator Certificate is valid for life; once earned, your qualifications do not expire. Memory Trick: &quot;Licence for life&quot; &mdash; once you pass, you keep the qualification."
BankQuestionID,B-001-002-002
,
question,Whenever a change of address is made:
optionA,"you must not operate until a change of address card is forwarded to Innovation, Science and Economic Development Canada"
optionB,"within the same province, you do not need to notify Innovation, Science and Economic Development Canada"
optionC,"you must notify Innovation, Science and Economic Development Canada within 30 days of a change of mailing address"
optionD,"you must notify Innovation, Science and Economic Development Canada within 14 days of operation at the new address"
correctOption,C
explanation,"You must notify Innovation, Science and Economic Development Canada within 30 days of a change of mailing address, no matter where you move. Memory Trick: Same idea as other address questions &mdash; &quot;30 days = notify ISED.&quot;"
BankQuestionID,B-001-002-003
,
question,The Amateur Radio Operator Certificate:
optionA,must be put on file
optionB,must be kept in a safe place
optionC,must be kept on the person to whom it is issued
optionD,must be retained at the station
correctOption,D
explanation,The Amateur Radio Operator Certificate must be retained at the station so that it is available for inspection in connection with the station's operation. Memory Trick: Think &quot;Certificate stays with the station&quot; rather than in your wallet or somewhere else.
BankQuestionID,B-001-002-004
,
question,"A radio inspector asks to see your Amateur Radio Operator Certificate, or a copy thereof. Per the regulations, how many hours are you given to comply?"
optionA,48
optionB,12
optionC,24
optionD,72
correctOption,A
explanation,You have 48 hours to produce your Amateur Radio Operator Certificate or a copy for a radio inspector. Memory Trick: Picture &quot;2 days to show the paper&quot; &mdash; 2 &times; 24 hours = 48 hours.
BankQuestionID,B-001-002-005
,
question,What is the fee for a first Amateur Radio Operator Certificate?
optionA,$24 
optionB,Free
optionC,$32 
optionD,$10 
correctOption,B
explanation,The first Amateur Radio Operator Certificate is issued free of charge; there is no fee for your initial certificate. Memory Trick: &quot;First is free&quot; &mdash; your first step into amateur radio certification does not cost you anything.
BankQuestionID,B-001-002-006
,
question,The Amateur Radio Operator Certificate should be:
optionA,retained on the holder's person
optionB,retained in the holder's vehicle
optionC,"retained at the address provided to Innovation, Science and Economic Development Canada"
optionD,retained in a safety deposit box
correctOption,C
explanation,"The Amateur Radio Operator Certificate should be retained at the address provided to Innovation, Science and Economic Development Canada so officials know where it can be found. Memory Trick: Match &quot;certificate&quot; with &quot;registered address&quot; &mdash; the place ISED has on file."
BankQuestionID,B-001-002-007
,
question,"What is the fee to issue a replacement call sign with a new prefix, due to a change in address to a new province or territory?"
optionA,$25 
optionB,$40 
optionC,$60 
optionD,Free
correctOption,D
explanation,"When you move to another province or territory and need a replacement call sign with a new prefix, the fee is free. Memory Trick: Moving across provincial borders already costs enough &mdash; remember &quot;new prefix for free when you move.&quot;"
BankQuestionID,B-001-002-008
,
question,What is the fee for changing an existing call sign (including changing to a two-letter call sign)?
optionA,$60 
optionB,$55 
optionC,$30 
optionD,Free
correctOption,A
explanation,"Changing an existing call sign, including upgrading to a two-letter call sign, costs $60 according to the current fee schedule. Memory Trick: Think &quot;Call sign change = 60&quot; and picture handing over exactly $60 for the new call."
BankQuestionID,B-001-002-009
,
question,Transmissions outside of amateur radio bands:
optionA,are permitted for short tests only
optionB,are prohibited and penalties could be assessed to the control operator
optionC,must be identified with your call sign
optionD,are permitted when using less than 1 watt
correctOption,B
explanation,"Transmissions outside amateur radio bands are prohibited, and penalties can be assessed to the control operator who is responsible for staying within authorized frequencies. Memory Trick: &quot;Stay in the bands&quot; &mdash; outside the amateur bands is simply not allowed."
BankQuestionID,B-001-003-001
,
question,What is the term in the regulations that defines if an amateur radio operator falsely transmits the word &quot;MAYDAY&quot; when there isn't an emergency?
optionA,An emergency test transmission
optionB,A privileged communication
optionC,A false or fraudulent message
optionD,An encrypted message
correctOption,C
explanation,Falsely transmitting &quot;MAYDAY&quot; when there is no real emergency is called a false or fraudulent message in the regulations. Memory Trick: &quot;MAYDAY = real emergency only&quot; &mdash; a fake distress call is treated as false or fraudulent.
BankQuestionID,B-001-003-002
,
question,Transmitting a false or fraudulent distress signal or message is prohibited. The person found guilty is liable to what penalty?
optionA,A fine of $10&nbsp;000
optionB,A prison term of two years
optionC,A fine not exceeding $1&nbsp;000
optionD,"A fine, not exceeding $5&nbsp;000, or a prison term not exceeding one year, or both"
correctOption,D
explanation,"Someone found guilty of sending a false or fraudulent distress signal can face a fine of up to $5&nbsp;000, up to one year in prison, or both. Memory Trick: Think &quot;Fake distress = cash + cell&quot; &mdash; up to $5&nbsp;000 and up to one year in jail."
BankQuestionID,B-001-003-003
,
question,Which government document states the offences and penalties relating to radiocommunications?
optionA,The Radiocommunication Act
optionB,The Broadcasting Act
optionC,The Radiocommunication Regulations
optionD,The Radio Systems Policies
correctOption,A
explanation,"The Radiocommunication Act sets out the offences and penalties related to radiocommunications in Canada; the Regulations provide detail, but the core offence and penalty provisions are in the Act. Memory Trick: For &quot;offences and penalties,&quot; go back to the main law &mdash; the Radiocommunication Act."
BankQuestionID,B-001-003-004
,
question,"Which of the following is NOT correct? The Minister of Innovation, Science and Industry may suspend an Amateur Radio Operator Certificate:"
optionA,where the holder has failed to comply with a request to pay fees or interest due
optionB,"with no notice, or opportunity to make representations thereto"
optionC,"where the holder has contravened the Radiocommunication Act, its regulations, or the terms and conditions of the certificate"
optionD,where the certificate was obtained through misrepresentation
correctOption,B
explanation,It is NOT correct that the Minister may suspend a certificate with no notice or opportunity to make representations; due process requires a chance to respond. The other listed reasons are valid grounds for suspension. Memory Trick: Remember &quot;government still gives you a chance to speak&quot; &mdash; no-notice suspension is the wrong option.
BankQuestionID,B-001-003-005
,
question,Which of the following statements is NOT correct?
optionA,"In executing a warrant, a radio inspector shall not use force, unless accompanied by a peace officer, and force is authorized"
optionB,The person responsible for a dwelling entered by a radio inspector shall provide the inspector the requested information
optionC,A radio inspector may enter a dwelling without the consent of the occupant and without a warrant
optionD,"Where entry is refused, and is necessary to perform their duties under the Radiocommunication Act, a radio inspector may obtain a warrant"
correctOption,C
explanation,"It is NOT correct that a radio inspector may enter a dwelling without consent and without a warrant; entering a dwelling normally requires either consent or a warrant. The other statements reflect proper legal procedure. Memory Trick: Think &quot;Home needs warrant or consent&quot; &mdash; that makes &quot;no consent, no warrant&quot; obviously wrong."
BankQuestionID,B-001-003-006
,
question,When is an amateur radio operator permitted to transmit false information?
optionA,"To play a practical joke, for example, giving incorrect location of an amateur radio event"
optionB,To conceal their identity when responding to inappropriate on-air conduct
optionC,To exaggerate the scope of an emergency to obtain help more rapidly
optionD,Transmitting false information is never permitted
correctOption,D
explanation,"Transmitting false information is never permitted. Amateur operators must always provide accurate and truthful information on the air. Memory Trick: ""False = forbidden"" — there is never a situation where transmitting false info is allowed."
BankQuestionID,B-001-003-007
,
question,"Interfering with, or obstructing any radio communication, without lawful cause, is prohibited. The person found guilty is liable to what penalty?"
optionA,"A fine, not exceeding $5&nbsp;000, or a prison term not exceeding one year, or both"
optionB,A fine of $10&nbsp;000
optionC,A prison term of two years
optionD,A fine not exceeding $1&nbsp;000
correctOption,A
explanation,"The penalty for unlawful interference is a fine up to $5&nbsp;000, up to one year in prison, or both. Memory Trick: ""Same as fake MAYDAY penalties"" — $5k and/or one year."
BankQuestionID,B-001-003-008
,
question,How old must you be to hold an Amateur Radio Operator Certificate with Basic Qualification?
optionA,14 years or older
optionB,There are no age limits
optionC,70 years or younger
optionD,18 years or older
correctOption,B
explanation,"There are no age limits to obtain an Amateur Radio Operator Certificate. Memory Trick: ""Ham radio is for everyone"" — no age rules at all."
BankQuestionID,B-001-004-001
,
question,Which examination must be passed before an Amateur Radio Operator Certificate is issued?
optionA,Morse code
optionB,Advanced Qualification
optionC,Basic Qualification
optionD,A practical test
correctOption,C
explanation,"The Basic Qualification must be passed to receive an Amateur Radio Operator Certificate. Memory Trick: ""Basic = the starting point"" — everything begins with Basic."
BankQuestionID,B-001-004-002
,
question,Holders of which one of the following certificates may be issued an Amateur Radio Operator Certificate?
optionA,Canadian Restricted Operator Certificate - Maritime (ROC-M)
optionB,Canadian Restricted Operator's Certificate - Maritime Commercial (ROC-MC)
optionC,Canadian Restricted Operator Certificate - Aeronautical (ROC-A)
optionD,Canadian Radiocommunication Operator General Certificate Maritime (RGMC)
correctOption,D
explanation,"The RGMC certificate qualifies the holder for issuance of an Amateur Radio Operator Certificate. Memory Trick: Remember the one with ""General"" — it’s the broad qualification."
BankQuestionID,B-001-004-003
,
question,"After an Amateur Radio Operator Certificate with Basic Qualification is issued, the holder may be examined for additional qualifications in the following order:"
optionA,any order
optionB,Morse code after passing the Advanced
optionC,Morse code after passing the Basic with Honours
optionD,Advanced after passing Morse code
correctOption,A
explanation,"Additional qualifications (Advanced and Morse) may be taken in any order. Memory Trick: ""After Basic = your choice"" — upgrade paths are flexible."
BankQuestionID,B-001-004-004
,
question,"What sending and receiving speed, in words per minute (wpm), must you achieve to be granted the Morse code Qualification?"
optionA,15 wpm
optionB,5 wpm
optionC,12 wpm
optionD,7 wpm
correctOption,B
explanation,"To receive the Morse Qualification, you must demonstrate 5 wpm. Memory Trick: ""Morse starts slow — 5 wpm."""
BankQuestionID,B-001-004-005
,
question,"You hold an Amateur Radio Operator Certificate with Advanced Qualification. Besides the amateur radio service, in what other service does this authorization allow you to operate a station?"
optionA,Maritime service
optionB,Land mobile service
optionC,No other service
optionD,Aeronautical service
correctOption,C
explanation,"Amateur qualifications apply only to the amateur service, even at the Advanced level. Memory Trick: ""Advanced ≠ commercial permissions"" — amateur only."
BankQuestionID,B-001-004-006
,
question,What conditions must candidates for amateur radio certification meet?
optionA,Be a Canadian citizen
optionB,Be a Canadian citizen or permanent resident
optionC,Be at least 14 years of age and a Canadian citizen or permanent resident
optionD,Have a valid address in Canada
correctOption,D
explanation,"Only a valid Canadian address is required. Citizenship is not required. Memory Trick: ""Address, not passport."""
BankQuestionID,B-001-004-007
,
question,"Under what circumstances can an amateur radio operator with an Advanced Qualification install, place in operation, modify or repair radio apparatus on behalf of another person?"
optionA,If the other person holds an authorization for this apparatus
optionB,"Pending the granting of a radio authorization, if the apparatus covers amateur radio and commercial bands"
optionC,Pending the granting of an Amateur Radio Operator Certificate if the apparatus covers amateur radio bands only
optionD,Pending the granting of an authorization if the apparatus is certified and crystal controlled
correctOption,A
explanation,"Work can only be performed if the other person already holds authorization for that apparatus. Memory Trick: ""You can help them only if they’re authorized."""
BankQuestionID,B-001-005-001
,
question,Under what circumstances can an amateur radio operator reprogram a land mobile transmitter on behalf of another person for use on 2 metres?
optionA,Only if the other person holds a Basic with Honours Qualification
optionB,Only if the other person holds an Amateur Radio Operator Certificate
optionC,Only if an amateur radio operator with an Advanced Qualification performs the modification
optionD,Only if the other person holds an Advanced Qualification
correctOption,B
explanation,"Reprogramming is only allowed if the other person holds an Amateur Radio Operator Certificate. Memory Trick: ""Both parties must be hams."""
BankQuestionID,B-001-005-002
,
question,What regulatory requirement must be met to allow you to install an amateur radio transmitter on behalf of another person?
optionA,Only you must hold an Amateur Radio Operator Certificate
optionB,The other person must be enrolled in an amateur radio certification course
optionC,Both you and the other person must hold Amateur Radio Operator Certificates
optionD,Only the other person must hold an Amateur Radio Operator Certificate
correctOption,C
explanation,"Both you and the other person must hold Amateur Radio Operator Certificates. Memory Trick: ""Two hams required."""
BankQuestionID,B-001-005-003
,
question,An amateur radio operator with Basic and Morse code qualifications may install an amateur radio station for another person:
optionA,only if the final power input does not exceed 100 watts
optionB,only if the station is for use on one of the VHF bands
optionC,only if the DC power input to the final stage does not exceed 200 watts
optionD,only if the other person is the holder of a valid Amateur Radio Operator Certificate
correctOption,D
explanation,"You may install a station only if the other person also holds a valid Amateur Radio Operator Certificate. Memory Trick: ""You can't install for a non-ham."""
BankQuestionID,B-001-005-004
,
question,What regulatory requirement must be met to allow you to repair an amateur radio transmitter on behalf of another person?
optionA,Both you and the other person must hold Amateur Radio Operator Certificates
optionB,Only the other person must hold an Amateur Radio Operator Certificate
optionC,Only you must hold an Amateur Radio Operator Certificate
optionD,The other person must be enrolled in an amateur radio certification course
correctOption,A
explanation,"Repairs require that both people hold Amateur Radio Operator Certificates. Memory Trick: ""Repairs = two hams."""
BankQuestionID,B-001-005-005
,
question,What regulatory requirement must be met to allow you to place an amateur radio transmitter in service on behalf of another person?
optionA,The other person must be enrolled in an amateur radio certification course
optionB,Both you and the other person must hold Amateur Radio Operator Certificates
optionC,Only the other person must hold an Amateur Radio Operator Certificate
optionD,Only you must hold an Amateur Radio Operator Certificate
correctOption,B
explanation,"Placing a transmitter in service requires both people to hold Amateur Radio Operator Certificates. Memory Trick: ""Activate = both certified."""
BankQuestionID,B-001-005-006
,
question,An amateur radio station with a maximum power output of 2 watts:
optionA,need not be authorized in isolated areas only
optionB,is exempt from regulatory control
optionC,must be under the supervision of a person holding an Amateur Radio Operator Certificate and call sign
optionD,"need not be authorized by Innovation, Science and Economic Development Canada"
correctOption,C
explanation,"Even low-power amateur stations must be supervised by a certified operator. Memory Trick: ""QRP still needs a ham."""
BankQuestionID,B-001-006-001
,
question,An amateur radio station may be used to communicate with:
optionA,any stations which are identified for special contests
optionB,Armed Forces stations during contests and exercises
optionC,any station transmitting in amateur radio bands
optionD,stations operated under similar authorizations
correctOption,D
explanation,"You may only communicate with stations operating under similar amateur authorizations. Memory Trick: ""Hams talk to hams."""
BankQuestionID,B-001-006-002
,
question,Under what circumstances is an amateur radio operator permitted to use an amplifier to amplify the output of a licence-exempt transmitter?
optionA,This is not permitted
optionB,When emissions will be outside amateur radio frequency allocations
optionC,Only for short test transmissions
optionD,When other users will not be interfered with
correctOption,A
explanation,"Amplifying licence-exempt transmitters is never permitted. Memory Trick: ""No boosting outside the ham rules."""
BankQuestionID,B-001-006-003
,
question,"When is it permissible to use amateur radio equipment, with or without modification, to transmit outside amateur radio bands?"
optionA,When transmissions are limited to licence-exempt frequencies
optionB,"Never, amateur radio equipment is not certified for operation outside amateur radio bands"
optionC,When the control operator holds an Advanced Qualification
optionD,When the operator already owns licensed equipment for such frequencies
correctOption,B
explanation,"Amateur equipment cannot be used outside amateur bands because it is not certified for those frequencies. Memory Trick: ""Ham gear stays in ham bands."""
BankQuestionID,B-001-006-004
,
question,"Which of the following statements is NOT correct? A person may operate radio apparatus, authorized in the amateur radio service:"
optionA,"only if the apparatus is maintained to the performance standards set by Innovation, Science and Economic Development Canada regulations and policies"
optionB,except for the amplification of the output power of licence-exempt radio apparatus operating outside authorized amateur radio service allocations
optionC,"on aeronautical, marine or land mobile frequencies"
optionD,only if the person complies with the Standards for the Operation of Radio Stations in the Amateur Radio Service
correctOption,C
explanation,"It is NOT correct that amateur authorization allows operation on aeronautical, marine, or land mobile frequencies. Amateur authorization is only for amateur bands. Memory Trick: ""Amateur ≠ commercial bands."""
BankQuestionID,B-001-006-005
,
question,Some VHF and UHF FM radios purchased for use in the amateur radio service can also be programmed to communicate on frequencies used for the land mobile service. Under what conditions is this permissible?
optionA,The radio operator has a Restricted Operator's Certificate
optionB,The equipment has an RF power output of 2 watts or less
optionC,The equipment is used in remote areas north of 60 degrees latitude
optionD,The radio is certified and licensed for use in the land mobile service
correctOption,D
explanation,"This is only permissible when the radio itself is certified and licensed for use in the land mobile service. Amateur certification alone does not authorize operation outside amateur bands. Memory Trick: ""Operating in another service requires gear certified for that service."""
BankQuestionID,B-001-006-006
,
question,Which of the following topics is prohibited on an amateur radio club net?
optionA,Business planning
optionB,Recreation planning
optionC,Code practice planning
optionD,Emergency planning
correctOption,A
explanation,"Business planning is prohibited because amateur radio cannot be used for business or commercial purposes. Memory Trick: ""Radio = hobby, not business."""
BankQuestionID,B-001-007-001
,
question,When is an amateur radio operator allowed to broadcast information to the general public?
optionA,Only when the broadcasts are of broad public interest
optionB,An amateur radio operator may never broadcast to the general public
optionC,Only when the amateur radio operator is being paid
optionD,Only when the broadcasts last less than 1 hour
correctOption,B
explanation,"Amateur radio operators are never permitted to broadcast to the general public. Amateur radio is for two-way communications, not broadcasting. Memory Trick: ""Hams converse, they don’t broadcast."""
BankQuestionID,B-001-007-002
,
question,Which of the following statements is NOT correct?
optionA,A courteous amateur radio operator refrains from using offensive language
optionB,An amateur radio operator does not obscure the meaning of their transmissions
optionC,An amateur radio operator may conduct occasional business on the air
optionD,A considerate amateur radio operator does not transmit unnecessary signals
correctOption,C
explanation,"Business communications are strictly prohibited in amateur radio, so saying it is allowed is NOT correct. Memory Trick: ""If money is involved, it's not amateur radio."""
BankQuestionID,B-001-007-003
,
question,Which of the following one-way communications may NOT be transmitted in the amateur radio service?
optionA,Radio control commands to model craft
optionB,Brief transmissions to make adjustments to the station
optionC,Morse code practice
optionD,Broadcasts intended for the general public
correctOption,D
explanation,"Broadcasting to the general public is prohibited. Other one-way transmissions (like control signals or practice) are allowed. Memory Trick: ""General public = not allowed."""
BankQuestionID,B-001-007-004
,
question,Under what condition are you permitted to use a new digital encoding technique that you developed to transmit data over amateur radio bands?
optionA,When it is published in the public domain
optionB,When it is used for music streaming content
optionC,When it is used for commercial traffic
optionD,When it includes sending the amateur radio station's call sign
correctOption,A
explanation,"New digital modes must be openly published. Secret or proprietary modes are not allowed. Memory Trick: ""If everyone can read it, it's allowed."""
BankQuestionID,B-001-007-005
,
question,When may an amateur radio station transmit an encoded message?
optionA,Only when transmitting above 450 MHz
optionB,Only when the encoding or cipher is not secret
optionC,Only during a declared communications emergency
optionD,Only during contests
correctOption,B
explanation,"Encoded messages are only allowed if the meaning of the encoding is publicly known and not secret. Memory Trick: ""Encryption is forbidden, but open encoding is OK."""
BankQuestionID,B-001-007-006
,
question,What are the restrictions on the use of abbreviations or procedural signals in the amateur radio service?
optionA,They are not permitted because they obscure the meaning of a message to government monitoring stations
optionB,"Only ""10 codes"" are permitted"
optionC,They may be used if the signals or codes are not secret
optionD,There are no restrictions
correctOption,C
explanation,"Abbreviations and procedural signals (Q codes, prosigns, etc.) are allowed as long as they are commonly understood and not secret. Memory Trick: ""Standard codes = OK. Secret codes = no."""
BankQuestionID,B-001-007-007
,
question,What should you do to keep your amateur radio station from retransmitting music or signals from a non-amateur radio station?
optionA,Turn up the volume of your transmitter
optionB,Speak closer to the microphone to increase your signal strength
optionC,Adjust your transceiver noise blanker
optionD,Turn down the volume of background audio
correctOption,D
explanation,"Reducing background audio prevents accidental retransmission of prohibited content such as music or broadcast signals. Memory Trick: ""If it’s in the room, turn it down."""
BankQuestionID,B-001-007-008
,
question,The transmission of a secret code by the operator of an amateur radio station:
optionA,is not permitted
optionB,is permitted for contests
optionC,"must be approved by Innovation, Science and Economic Development Canada"
optionD,is permitted for third-party traffic
correctOption,A
explanation,"Secret or encrypted messages are not allowed in amateur radio because all communications must be open. Memory Trick: ""Ham radio = no secrets."""
BankQuestionID,B-001-007-009
,
question,An amateur radio operator may be engaged in communications including the transmission of:
optionA,commercially recorded material
optionB,Q codes
optionC,programming that originates from a broadcasting undertaking
optionD,"radiocommunication in support of industrial, business, or professional activities"
correctOption,B
explanation,"Q codes are allowed because they are standard amateur radio procedural signals used worldwide to clarify meaning quickly. Commercial, broadcast, or business content is prohibited in the amateur service. Memory Trick: &quot;Q codes = classic ham language.&quot;

<br><br><strong>Common Q Codes Used in Amateur Radio:</strong><br>
<table border=""1"" cellspacing=""0"" cellpadding=""4"">
<tr><th>Q Code</th><th>Meaning (Question)</th><th>Meaning (Answer)</th></tr>

<tr><td>QRA</td><td>What is the name of your station?</td><td>The name of my station is ___</td></tr>
<tr><td>QRB</td><td>How far are you from my station?</td><td>The distance is ___ km</td></tr>
<tr><td>QRG</td><td>What is my exact frequency?</td><td>Your exact frequency is ___</td></tr>
<tr><td>QRK</td><td>What is the readability of my signals?</td><td>Your signals are readable ___</td></tr>
<tr><td>QRL</td><td>Are you busy?</td><td>I am busy / This frequency is in use</td></tr>
<tr><td>QRM</td><td>Is my transmission being interfered with?</td><td>You are being interfered with</td></tr>
<tr><td>QRN</td><td>Are you troubled by static?</td><td>I am troubled by static</td></tr>
<tr><td>QRO</td><td>Shall I increase power?</td><td>Increase power</td></tr>
<tr><td>QRP</td><td>Shall I decrease power?</td><td>Decrease power</td></tr>
<tr><td>QRQ</td><td>Shall I send faster?</td><td>Send faster</td></tr>
<tr><td>QRS</td><td>Shall I send slower?</td><td>Send slower</td></tr>
<tr><td>QRT</td><td>Shall I stop transmitting?</td><td>Stop transmitting</td></tr>
<tr><td>QRU</td><td>Do you have anything for me?</td><td>I have nothing for you</td></tr>
<tr><td>QRV</td><td>Are you ready?</td><td>I am ready</td></tr>
<tr><td>QRX</td><td>When will you call me again?</td><td>I will call you again at ___</td></tr>
<tr><td>QRZ</td><td>Who is calling me?</td><td>You are being called by ___</td></tr>

<tr><td>QSB</td><td>Are my signals fading?</td><td>Your signals are fading</td></tr>
<tr><td>QSD</td><td>Is my keying defective?</td><td>Your keying is defective</td></tr>
<tr><td>QSK</td><td>Can you hear me between your signals?</td><td>I can hear you between signals</td></tr>
<tr><td>QSL</td><td>Can you acknowledge receipt?</td><td>I acknowledge receipt</td></tr>
<tr><td>QSO</td><td>Can you communicate with ___?</td><td>I can communicate with ___</td></tr>
<tr><td>QSP</td><td>Will you relay a message?</td><td>I will relay a message</td></tr>
<tr><td>QSY</td><td>Shall I change frequency?</td><td>Change frequency</td></tr>
<tr><td>QTH</td><td>What is your location?</td><td>My location is ___</td></tr>
</table>
"
BankQuestionID,B-001-007-010
,
question,"In the amateur radio service, business communications:"
optionA,are only permitted if they are for the safety of life or immediate protection of property
optionB,are not prohibited by regulation
optionC,are not permitted under any circumstance
optionD,are permitted on some bands
correctOption,C
explanation,"Business communications are never allowed in the amateur radio service. Amateur radio is strictly non-commercial and for personal, experimental, and emergency use only. Memory Trick: Think ""Ham = hobby, not business"" — if it makes money, it doesn't belong on the air."
BankQuestionID,B-001-007-011
,
question,Where may holders of an Amateur Radio Operator Certificate operate an amateur radio station in Canada?
optionA,Anywhere in Canada only during times of emergency
optionB,"Only at the address shown on Innovation, Science and Economic Development Canada records"
optionC,Only within their province or territory
optionD,Anywhere in Canada
correctOption,D
explanation,"Once you are qualified, you may operate an amateur radio station anywhere in Canada, not just at your home address or province. Memory Trick: ""One Canadian certificate = all of Canada."""
BankQuestionID,B-001-008-001
,
question,Which type of station may transmit one-way communications?
optionA,Beacon station
optionB,Repeater station
optionC,HF station
optionD,VHF station
correctOption,A
explanation,"Beacon stations are specifically intended to send one-way signals (for propagation and testing). Repeaters and other stations normally support two-way communications. Memory Trick: ""Beacons just beep"" — one-way by design."
BankQuestionID,B-001-008-002
,
question,What minimum qualifications must an amateur radio operator hold to assemble commercially available transmitter kits of professional design?
optionA,Basic and Advanced
optionB,Basic
optionC,Basic with Honours
optionD,Basic and Morse code
correctOption,B
explanation,"A Basic Qualification is sufficient to assemble professionally designed, commercially available transmitter kits. Memory Trick: ""Commercial kit + Basic = OK."""
BankQuestionID,B-001-008-003
,
question,What minimum qualifications must an amateur radio operator hold to install a repeater operating on a single band in a voice mode?
optionA,Basic with Honours
optionB,Basic
optionC,Basic and Advanced
optionD,Basic and Morse code
correctOption,C
explanation,"Installing repeaters requires both Basic and Advanced qualifications because of the added technical responsibility. Memory Trick: ""Repeaters are advanced projects — need Advanced."""
BankQuestionID,B-001-008-004
,
question,What minimum qualifications must an amateur radio operator hold to install an amateur radio club station?
optionA,"Basic, Advanced and Morse code"
optionB,Basic
optionC,Basic with Honours
optionD,Basic and Advanced
correctOption,D
explanation,"An amateur radio club station must be installed by someone with both Basic and Advanced qualifications to ensure proper technical standards. Memory Trick: ""Club = bigger responsibility = Advanced."""
BankQuestionID,B-001-008-005
,
question,What minimum qualifications must an amateur radio operator hold to install or operate a transmitter or RF amplifier that is neither professionally designed nor commercially manufactured for use in the amateur radio service?
optionA,Basic and Advanced
optionB,Basic with Honours
optionC,Basic and Morse code
optionD,"Basic, Advanced and Morse code"
correctOption,A
explanation,"Homebrew or non-commercial transmitters and amplifiers require Basic and Advanced qualifications because more technical knowledge is needed. Memory Trick: ""Homemade power = Advanced required."""
BankQuestionID,B-001-008-006
,
question,What minimum qualifications must an amateur radio operator hold to operate cross-band repeaters?
optionA,Basic and Advanced
optionB,Basic
optionC,Basic with Honours
optionD,Basic and Morse code
correctOption,B
explanation,"A Basic Qualification is sufficient to operate cross-band repeaters that are already correctly installed and configured. Memory Trick: ""Operating cross-band is OK with Basic; installing repeaters needs Advanced."""
BankQuestionID,B-001-008-007
,
question,"What minimum qualifications must an amateur radio operator hold to remotely operate a transmitter, including changing frequency, emission mode or output power?"
optionA,Basic with Honours
optionB,Basic
optionC,Basic and Advanced
optionD,Basic and Morse code
correctOption,C
explanation,"Remote control of transmitters, including changing key parameters, requires Basic and Advanced qualifications. Memory Trick: ""Remote control = higher responsibility = Advanced."""
BankQuestionID,B-001-008-008
,
question,Who is responsible for the operation of an amateur radio station?
optionA,Only the station owner who is the holder of an Amateur Radio Operator Certificate
optionB,The person who owns the station equipment
optionC,Only the control operator
optionD,Both the control operator and the station owner
correctOption,D
explanation,"Both the control operator and the station owner share responsibility for ensuring the station operates according to the regulations. Memory Trick: ""Two people, two responsibilities — owner and control operator."""
BankQuestionID,B-001-009-001
,
question,"If you transmit from another amateur radio station, who is responsible for its operation?"
optionA,Both of you
optionB,You
optionC,"The station owner, unless the station logbook shows you as the control operator"
optionD,The station owner
correctOption,A
